county_name,state,county_code,deaths,population,crude_rate
Wayne,IN,18177,337,65778,512.3
Wells,IN,18179,137,28142,486.8
White,IN,18181,126,24165,521.4
Whitley,IN,18183,133,34378,386.9
Adair,IA,19001,46,7059,651.7
Adams,IA,19003,22,3588,613.2
Allamakee,IA,19005,45,13642,329.9
Appanoose,IA,19007,72,12430,579.2
Audubon,IA,19009,39,5481,711.5
Benton,IA,19011,100,25414,393.5
Black Hawk,IA,19013,548,130786,419.0
Boone,IA,19015,143,26277,544.2
Bremer,IA,19017,96,25311,379.3
Buchanan,IA,19019,94,21287,441.6
Buena Vista,IA,19021,82,19772,414.7
Butler,IA,19023,71,14333,495.4
Calhoun,IA,19025,52,9473,548.9
Carroll,IA,19027,107,19914,537.3
Cass,IA,19029,82,12817,639.8
Cedar,IA,19031,93,18485,503.1
Cerro Gordo,IA,19033,218,42103,517.8
Cherokee,IA,19035,67,11190,598.7
Chickasaw,IA,19037,63,11834,532.4
Clarke,IA,19039,48,9353,513.2
Clay,IA,19041,65,15976,406.9
Clayton,IA,19043,78,17321,450.3
Clinton,IA,19045,256,46392,551.8
Crawford,IA,19047,71,16834,421.8
Dallas,IA,19049,228,96963,235.1
Davis,IA,19051,46,9051,508.2
Decatur,IA,19053,40,7769,514.9
Delaware,IA,19055,65,16937,383.8
Des Moines,IA,19057,200,38708,516.7
Dickinson,IA,19059,89,17549,507.2
Dubuque,IA,19061,378,97590,387.3
Emmet,IA,19063,48,9095,527.8
Fayette,IA,19065,82,19258,425.8
Floyd,IA,19067,79,15480,510.3
Franklin,IA,19069,46,9971,461.3
Fremont,IA,19071,39,6729,579.6
Greene,IA,19073,53,8795,602.6
Grundy,IA,19075,64,12217,523.9
Guthrie,IA,19077,59,10737,549.5
Hamilton,IA,19079,81,14716,550.4
Hancock,IA,19081,57,10507,542.5
Hardin,IA,19083,80,16575,482.7
Harrison,IA,19085,78,13928,560.0
Henry,IA,19087,89,19697,451.8
Howard,IA,19089,61,9176,664.8
Humboldt,IA,19091,43,9473,453.9
Ida,IA,19093,39,6833,570.8
Iowa,IA,19095,80,16138,495.7
Jackson,IA,19097,81,19205,421.8
Jasper,IA,19099,155,37148,417.2
Jefferson,IA,19101,79,18347,430.6
Johnson,IA,19103,328,153740,213.3
Jones,IA,19105,69,20617,334.7
Keokuk,IA,19107,44,10085,436.3
Kossuth,IA,19109,66,14680,449.6
Lee,IA,19111,194,33480,579.5
Linn,IA,19113,838,227854,367.8
Louisa,IA,19115,57,11011,517.7
Lucas,IA,19117,47,8518,551.8
Lyon,IA,19119,41,11756,348.8
Madison,IA,19121,67,16521,405.5
Mahaska,IA,19123,121,22370,540.9
Marion,IA,19125,167,33168,503.5
Marshall,IA,19127,205,39495,519.1
Mills,IA,19129,69,14766,467.3
Mitchell,IA,19131,55,10647,516.6
Monona,IA,19133,66,8598,767.6
Monroe,IA,19135,48,7770,617.8
Montgomery,IA,19137,66,9935,664.3
Muscatine,IA,19139,152,42394,358.5
O'Brien,IA,19141,71,13679,519.0
Osceola,IA,19143,35,5987,584.6
Page,IA,19145,73,15073,484.3
Palo Alto,IA,19147,53,8845,599.2
Plymouth,IA,19149,92,25219,364.8
Pocahontas,IA,19151,35,6607,529.7
Polk,IA,19153,1726,494281,349.2
Pottawattamie,IA,19155,419,93328,449.0
Poweshiek,IA,19157,85,18381,462.4
Ringgold,IA,19159,22,4801,458.2
Sac,IA,19161,64,9603,666.5
Scott,IA,19163,715,173216,412.8
