county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Appling County,GA,13001,91,18325,496.6,2022,NA
Atkinson County,GA,13003,38,8393,452.8,2022,NA
Bacon County,GA,13005,62,11036,561.8,2022,NA
Baker County,GA,13007,10,2971,Unreliable,2022,NA
Baldwin County,GA,13009,180,45099,399.1,2022,NA
Banks County,GA,13011,91,19352,470.2,2022,NA
Barrow County,GA,13013,299,85588,349.3,2022,NA
Bartow County,GA,13015,443,109426,404.8,2022,NA
Ben Hill County,GA,13017,82,16614,493.6,2022,NA
Berrien County,GA,13019,97,19408,499.8,2022,NA
Bibb County,GA,13021,788,152737,515.9,2022,NA
Bleckley County,GA,13023,64,12955,494.0,2022,NA
Brantley County,GA,13025,98,19202,510.4,2022,NA
Brooks County,GA,13027,92,15357,599.1,2022,NA
Bryan County,GA,13029,127,40755,311.6,2022,NA
Bulloch County,GA,13031,279,80839,345.1,2022,NA
Burke County,GA,13033,109,22648,481.3,2022,NA
Butts County,GA,13035,134,25426,527.0,2022,NA
Calhoun County,GA,13037,22,6231,353.1,2022,NA
Camden County,GA,13039,158,55388,285.3,2022,NA
Candler County,GA,13043,61,10985,555.3,2022,NA
Carroll County,GA,13045,498,121633,409.4,2022,NA
Catoosa County,GA,13047,336,67996,494.1,2022,NA
Charlton County,GA,13049,61,13430,454.2,2022,NA
Chatham County,GA,13051,1153,289463,398.3,2022,NA
Chattahoochee County,GA,13053,16,10551,Unreliable,2022,NA
Chattooga County,GA,13055,184,24843,740.7,2022,NA
Cherokee County,GA,13057,851,265274,320.8,2022,NA
Clarke County,GA,13059,349,127795,273.1,2022,NA
Clay County,GA,13061,11,2866,Unreliable,2022,NA
Clayton County,GA,13063,800,292646,273.4,2022,NA
Clinch County,GA,13065,27,6582,410.2,2022,NA
Cobb County,GA,13067,1978,762944,259.3,2022,NA
Coffee County,GA,13069,190,43218,439.6,2022,NA
Colquitt County,GA,13071,214,45542,469.9,2022,NA
Columbia County,GA,13073,488,160377,304.3,2022,NA
Cook County,GA,13075,108,17291,624.6,2022,NA
Coweta County,GA,13077,512,150849,339.4,2022,NA
Crawford County,GA,13079,53,12231,433.3,2022,NA
Crisp County,GA,13081,104,22034,472.0,2022,NA
Dade County,GA,13083,83,16057,516.9,2022,NA
Dawson County,GA,13085,129,27113,475.8,2022,NA
Decatur County,GA,13087,146,26457,551.8,2022,NA
DeKalb County,GA,13089,1991,762009,261.3,2022,NA
Dodge County,GA,13091,96,20452,469.4,2022,NA
Dooly County,GA,13093,56,13174,425.1,2022,NA
Dougherty County,GA,13095,435,86477,503.0,2022,NA
Douglas County,GA,13097,421,147988,284.5,2022,NA
Early County,GA,13099,64,10037,637.6,2022,NA
Effingham County,GA,13103,214,65765,325.4,2022,NA
Elbert County,GA,13105,139,19335,718.9,2022,NA
Emanuel County,GA,13107,121,22507,537.6,2022,NA
Evans County,GA,13109,45,10638,423.0,2022,NA
Fannin County,GA,13111,187,26521,705.1,2022,NA
Fayette County,GA,13113,465,115821,401.5,2022,NA
Floyd County,GA,13115,525,98604,532.4,2022,NA
Forsyth County,GA,13117,563,250847,224.4,2022,NA
Franklin County,GA,13119,144,23504,612.7,2022,NA
Fulton County,GA,13121,2931,1077402,272.0,2022,NA
Gilmer County,GA,13123,166,31978,519.1,2022,NA
Glascock County,GA,13125,20,2984,670.2,2022,NA
Glynn County,GA,13127,402,85568,469.8,2022,NA
Gordon County,GA,13129,280,58780,476.4,2022,NA
Grady County,GA,13131,116,24491,473.6,2022,NA
Greene County,GA,13133,89,18837,472.5,2022,NA
Gwinnett County,GA,13135,2053,942627,217.8,2022,NA
Habersham County,GA,13137,216,46047,469.1,2022,NA
Hall County,GA,13139,672,206591,325.3,2022,NA
Hancock County,GA,13141,43,8494,506.2,2022,NA
Haralson County,GA,13143,164,30383,539.8,2022,NA
Harris County,GA,13145,130,36080,360.3,2022,NA
Hart County,GA,13147,168,26406,636.2,2022,NA
Heard County,GA,13149,60,11973,501.1,2022,NA
Henry County,GA,13151,788,239139,329.5,2022,NA
Houston County,GA,13153,556,160110,347.3,2022,NA
Irwin County,GA,13155,62,9387,660.5,2022,NA
Jackson County,GA,13157,303,76199,397.6,2022,NA
Jasper County,GA,13159,77,14483,531.7,2022,NA
Jeff Davis County,GA,13161,65,15213,427.3,2022,NA
